"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-07","2023","06","07","","25.4","","13.6","","19.5","","0.0","","1.5","","","","","","0.0","","","","26","","32",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-08","2023","06","08","","20.1","","11.6","","15.8","","2.2","","0.0","","","","","","0.0","","","","26","","47",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-09","2023","06","09","","14.7","","10.7","","12.7","","5.3","","0.0","","","","","","4.0","","","","25","","49",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-10","2023","06","10","","15.2","","10.1","","12.7","","5.3","","0.0","","","","","","13.2","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-11","2023","06","11","","19.1","","11.3","","15.2","","2.8","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-12","2023","06","12","","22.2","","11.5","","16.8","","1.2","","0.0","","","","","","0.0","","","","23","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-13","2023","06","13","","18.4","","11.2","","14.8","","3.2","","0.0","","","","","","0.0","","","","25","","74",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-14","2023","06","14","","17.1","","10.7","","13.9","","4.1","","0.0","","","","","","0.0","","","","26","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-15","2023","06","15","","16.7","","10.2","","13.5","","4.5","","0.0","","","","","","0.0","","","","27","","46",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-16","2023","06","16","","18.9","","10.6","","14.8","","3.2","","0.0","","","","","","0.0","","","","25","","61",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-17","2023","06","17","","15.7","","10.1","","12.9","","5.1","","0.0","","","","","","0.0","","","","25","","66",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-18","2023","06","18","","16.5","","9.0","","12.8","","5.2","","0.0","","","","","","0.0","","","","25","","52",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-19","2023","06","19","","15.6","","8.5","","12.0","","6.0","","0.0","","","","","","0.0","","","","23","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-20","2023","06","20","","14.8","","10.0","","12.4","","5.6","","0.0","","","","","","0.8","","","","22","","31",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-21","2023","06","21","","16.1","","10.1","","13.1","","4.9","","0.0","","","","","","0.0","","","","24","","31",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-22","2023","06","22","","24.0","","9.7","","16.9","","1.1","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-23","2023","06","23","","21.1","","10.4","","15.8","","2.2","","0.0","","","","","","0.0","","","","24","","53",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-24","2023","06","24","","14.9","","10.5","","12.7","","5.3","","0.0","","","","","","0.0","","","","24","","49",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-25","2023","06","25","","17.6","","10.1","","13.8","","4.2","","0.0","","","","","","0.0","","","","26","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-26","2023","06","26","","20.8","","10.5","","15.7","","2.3","","0.0","","","","","","0.0","","","","25","","45",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-27","2023","06","27","","15.6","","10.7","","13.2","","4.8","","0.0","","","","","","0.0","","","","23","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-28","2023","06","28","","20.7","","10.7","","15.7","","2.3","","0.0","","","","","","0.0","","","","25","","59",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-29","2023","06","29","","21.7","","12.0","","16.9","","1.1","","0.0","","","","","","0.0","","","","26","","52",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-06-30","2023","06","30","","19.4","","11.4","","15.4","","2.6","","0.0","","","","","","0.0","","","","24","","56",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-01","2023","07","01","","21.4","","11.3","","16.3","","1.7","","0.0","","","","","","0.0","","","","27","","64",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-02","2023","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-03","2023","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-04","2023","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-05","2023","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-06","2023","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-07","2023","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-08","2023","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-09","2023","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-10","2023","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-11","2023","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-12","2023","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-13","2023","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-14","2023","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-15","2023","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-16","2023","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-17","2023","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-18","2023","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-19","2023","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-20","2023","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-21","2023","07","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-22","2023","07","22","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-23","2023","07","23","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-24","2023","07","24","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-25","2023","07","25","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-26","2023","07","26","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-27","2023","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-28","2023","07","28","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-29","2023","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-30","2023","07","30","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-07-31","2023","07","31","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-01","2023","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-02","2023","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-03","2023","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-04","2023","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-05","2023","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-06","2023","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-07","2023","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-08","2023","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-09","2023","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-10","2023","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-11","2023","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-12","2023","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-13","2023","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-14","2023","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-15","2023","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-16","2023","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-17","2023","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-18","2023","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-19","2023","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-20","2023","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-21","2023","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-22","2023","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-23","2023","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-24","2023","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-25","2023","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-26","2023","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-27","2023","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-28","2023","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-29","2023","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-30","2023","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-08-31","2023","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-01","2023","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-02","2023","09","02","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-03","2023","09","03","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-04","2023","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-05","2023","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-06","2023","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-07","2023","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-08","2023","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-09","2023","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-10","2023","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-11","2023","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-12","2023","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-13","2023","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-14","2023","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-15","2023","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-16","2023","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-17","2023","09","17","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-18","2023","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-19","2023","09","19","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-20","2023","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-21","2023","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-22","2023","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-23","2023","09","23","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-24","2023","09","24","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-25","2023","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-26","2023","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-27","2023","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-28","2023","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-29","2023","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-09-30","2023","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-01","2023","10","01","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-02","2023","10","02","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-03","2023","10","03","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-04","2023","10","04","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-05","2023","10","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-06","2023","10","06","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-07","2023","10","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-08","2023","10","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-09","2023","10","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-10","2023","10","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-11","2023","10","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-12","2023","10","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-13","2023","10","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-14","2023","10","14","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-15","2023","10","15","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-16","2023","10","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-17","2023","10","17","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-18","2023","10","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-19","2023","10","19","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-20","2023","10","20","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-21","2023","10","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-22","2023","10","22","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-23","2023","10","23","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-24","2023","10","24","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-25","2023","10","25","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-26","2023","10","26","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-27","2023","10","27","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-28","2023","10","28","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-29","2023","10","29","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-30","2023","10","30","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-10-31","2023","10","31","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-01","2023","11","01","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-02","2023","11","02","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-03","2023","11","03","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-04","2023","11","04","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-05","2023","11","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-06","2023","11","06","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-07","2023","11","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-08","2023","11","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-09","2023","11","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-10","2023","11","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-11","2023","11","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-12","2023","11","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-13","2023","11","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-14","2023","11","14","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-15","2023","11","15","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-16","2023","11","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-17","2023","11","17","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-18","2023","11","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-19","2023","11","19","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-20","2023","11","20","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-21","2023","11","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-22","2023","11","22","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-23","2023","11","23","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-24","2023","11","24","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-25","2023","11","25","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-26","2023","11","26","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-27","2023","11","27","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-28","2023","11","28","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-29","2023","11","29","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-11-30","2023","11","30","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-01","2023","12","01","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-02","2023","12","02","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-03","2023","12","03","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-04","2023","12","04","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-05","2023","12","05","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-06","2023","12","06","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-07","2023","12","07","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-08","2023","12","08","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-09","2023","12","09","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-10","2023","12","10","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-11","2023","12","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-12","2023","12","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-13","2023","12","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-14","2023","12","14","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-15","2023","12","15","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-16","2023","12","16","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-17","2023","12","17","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-18","2023","12","18","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-19","2023","12","19","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-20","2023","12","20","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-21","2023","12","21","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-22","2023","12","22","","","","","","","","","","","","","","","","","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2023-12-23","2023","12","23","","","","","","","","","","","","","","","","","","","","","","",""
